Id, Title, Brand, Image, Price 
83, HP EliteBook x360 1030 (WIFI ONLY)13.3" Laptop i5 2.5GHz 8GB 512GB SSD,HP,https://i.ebayimg.com/thumbs/images/g/tJEAAOSw3fZaPt3Y/s-l225.jpg,$1,649.95 
84,Dell Latitude E6420 ATG Laptop i5 2.60Ghz 4GB DDR3 Windows 10 HD SSD,Dell,https://i.ebayimg.com/thumbs/images/m/m4FvJgzINe-4wwJniMALy7w/s-l225.jpg,$274.99 
85,Acer Travelmate,Acer,https://i.ebayimg.com/thumbs/images/g/xcEAAOSwuCVc0S~u/s-l225.jpg,$65.00 
86,HP Envy 13-D042NR 13.3"i7-7500U 2.5GH/z 8GB 1TB Upgrade SSD WS 10,HP,https://i.ebayimg.com/thumbs/images/g/qTEAAOSwc-tY6CV3/s-l225.jpg,$1,749.95 
87,Refurb Lenovo Ideapad 110-15ISK Core i5-6200U Dual-Core 2.3GHz 8GB 1TB15.6 LED N,Lenovo,https://i.ebayimg.com/thumbs/images/g/V4gAAOSwjXZcpkIE/s-l225.jpg,$485.15 
88,HP 15.6" Laptop i7 3.1GHz 4GB 1TB Windows 10 (15-db0031nr),HP,https://i.ebayimg.com/thumbs/images/g/68YAAOSwWN5cM26o/s-l225.jpg,$316.29 
89,Dell Latitude 7250 i7-5600U @2.6GHz 8GB RAM, 256GB SSD, Touchscreen, 2HTDH72,Dell,https://i.ebayimg.com/thumbs/images/g/DtgAAOSwnXhc0Jps/s-l225.jpg,$221.96 
90,Refurb Dell Inspiron 13 Touchscreen Core i3-7100U Dual-Core 2.4GHz 4GB 1TB13.3 F,Dell,https://i.ebayimg.com/thumbs/images/g/sEoAAOSwD55c0NVa/s-l225.jpg,$447.27 
91,Lenovo Ideapad 110-15IBR 80T7 1.60Ghz 4GB DDR3 1TB Hard Drive Windows 10,Lenovo,https://i.ebayimg.com/thumbs/images/g/c7UAAOSw6IdcUyJu/s-l225.jpg,$169.95 
92,Lenovo Thinkpad T440 Core i5-4300U 2.5GHz HD+ 4GB 500GB BT FPR Win10Pro,Lenovo,https://i.ebayimg.com/thumbs/images/g/QkQAAOSwvRpazXag/s-l225.jpg,$194.00 
93,Dell Latitude E7450, i5-5200U, 8GB RAM, 320GB SATA HDD *115,Dell,https://i.ebayimg.com/thumbs/images/g/jfEAAOSwOyxct0hp/s-l225.jpg,$179.99 
94,Custom Build Dell Latitude E6530 Laptop i5 2.90Ghz 4-8GB DDR3 Windows 10 HD SSD,Dell,https://i.ebayimg.com/thumbs/images/m/mlLo0JW4tBp3lYaoKwP8Lpw/s-l225.jpg,$199.00  
95,HP EliteBook 840 G2 Intel Core i5 2.30GHz 8G Ram Laptop [Integrated Graphics],HP,https://i.ebayimg.com/thumbs/images/g/bGQAAOSwstxctJ5u/s-l225.jpg,$124.95 
96,Dell Latitude 14 Rugged - Core I5, Rugged Industrial Laptop,Dell,https://i.ebayimg.com/thumbs/images/m/mczTnxro_0IpMgdpe5jiYaw/s-l225.jpg,$887.17  
97, HP Pavilion 15-au030nr Touch-SCRN Laptop 15.6" i7-6500HQ 2.60GH/z 16GB 1TB,HP,https://i.ebayimg.com/thumbs/images/g/QFsAAOSwAANY6GsJ/s-l225.jpg,$1,449.95 
98,Dell Inspiron 15.6" Laptop i5 2.5GHz 8GB 256GB Windows 10 (i7579-10028GRY),Dell,https://i.ebayimg.com/thumbs/images/g/PqAAAOSwWUBcQGm5/s-l225.jpg,$412.69 
99,Acer Aspire 15.6" Laptop 1.10GHz 4GB 1TB Windows 10 (ACA31532C3KK),Acer,https://i.ebayimg.com/thumbs/images/g/HJAAAOSwL8xcgqd1/s-l225.jpg,$219.59 
100,HP laptop stream 14-axoxx,HP,https://i.ebayimg.com/thumbs/images/g/baUAAOSw7Sxc0O2r/s-l225.jpg,$180.00 
101,Refurb Dell Inspiron 15 Core i5-7200U Dual-Core 2.5GHz 8GB 1TB DVDRW15.6 Laptop ,Dell,https://i.ebayimg.com/thumbs/images/g/ubkAAOSwb1Nc0NOg/s-l225.jpg,$497.77 
102,HP ELITEBOOK X360 1030 G2 | Intel Core i5-7300U | 16 GB RAM | 256 GB SSD | 2GZ76,HP,https://i.ebayimg.com/thumbs/images/g/9PAAAOSw9elcpknI/s-l225.jpg,$549.00 
103,Dell Latitude 7280 i7-7600U @2.8GHz 8GB RAM DDR4, 256GB SSD, Touchscreen TESTED,Dell,https://i.ebayimg.com/thumbs/images/g/6sIAAOSwzd5c0DcH/s-l225.jpg,$639.80 
104, Dell 5570 15.6" Laptop i7-7500U 4/8/16GB RAM 1TB HDD 500GB 1TB SSD Customize,Dell,https://i.ebayimg.com/thumbs/images/m/mjjX-MMw-ExLVrGV5t9I5YA/s-l225.jpg,$549.99  
105,HP ProBook 4720s,HP,https://i.ebayimg.com/thumbs/images/g/-VQAAOSwWkhc0DKu/s-l225.jpg,$275.00 
106,RB Dell Inspiron 13.3" FHD IPS Touch 2in1 Laptop i7-8550U 4GHz 8GB 256GB W10 ,Dell,https://i.ebayimg.com/thumbs/images/g/vDMAAOSwZ3BafRxj/s-l225.jpg,$549.99 
107,Dell Vostro 2420 - 14" Laptop Intel i3-2328M @ 2.20GHz 4GB RAM 320GB HDD Win 10,Dell,https://i.ebayimg.com/thumbs/images/g/6D4AAOSwAVNcvxbf/s-l225.jpg,$114.99 
108,HP Envy EliteBook Folio M4 4GB RAM 256 GB SSD – Professionally tested,HP,https://i.ebayimg.com/thumbs/images/g/hYUAAOSw9ylc0MK5/s-l225.jpg,$180.00 
109,HP 15-db0599sa Full HD AMD A6-9225 4GB 1TB HDD 15.6" Burgundy Windows 10 Laptop,HP,https://i.ebayimg.com/thumbs/images/g/9TAAAOSw6fBcfuQg/s-l225.jpg,$340.39 
110,Lenovo Thinkpad T430 Core i5 2.60GHZ 8GB 256GB SSD DVD+RW Windows 10 Pro webcam,Lenovo,https://i.ebayimg.com/thumbs/images/g/kiQAAOSwX2JctMgp/s-l225.jpg,$197.85 
111,Refurb Dell Inspiron 15 Core i5-7200U Dual-Core 2.5GHz 8GB 1TB DVDRW15.6 Laptop ,Dell,https://i.ebayimg.com/thumbs/images/g/JfcAAOSwnQFc0NP~/s-l225.jpg,$486.03 
112,HP 17.3" Laptop Intel Core i3 8GB 1TB Windows 10 - Jet Black,HP,https://i.ebayimg.com/thumbs/images/g/1cUAAOSw5npcmMRG/s-l225.jpg,$389.49 
113,Customize Panasonic Toughbook CF-19 i5 2.7Ghz MK7 Touchscreen Tablet Win10,Panasonic,https://i.ebayimg.com/thumbs/images/m/mKAcGtsMnvbOXxceV1u9SqQ/s-l225.jpg,$399.99  
114,Refurb Dell Latitude E6420 i5 2520M 2.5GHz 4GB 250GB HDD Windows 7 Pro,Dell,https://i.ebayimg.com/thumbs/images/g/TTMAAOSwQcJaFKmj/s-l225.jpg,$179.99 
